CISP,AISP,ano,mcirc,ocorrencias,qtde
10,2,2022,3304557,roubo_bicicleta,9
10,2,2022,3304557,roubo_carga,0
10,2,2022,3304557,roubo_celular,124
10,2,2022,3304557,roubo_comercio,51
10,2,2022,3304557,roubo_conducao_saque,0
10,2,2022,3304557,roubo_cx_eletronico,1
10,2,2022,3304557,roubo_em_coletivo,36
10,2,2022,3304557,roubo_residencia,3
10,2,2022,3304557,roubo_rua,411
10,2,2022,3304557,roubo_veiculo,50
10,2,2022,3304557,sequestro,0
10,2,2022,3304557,sequestro_relampago,2
10,2,2022,3304557,trafico_drogas,3
23,3,2019,3304557,aaapai,39
23,3,2019,3304557,ameaca,257
23,3,2019,3304557,apf,169
23,3,2019,3304557,apreensao_drogas,18
23,3,2019,3304557,apreensao_drogas_sem_autor,1
23,3,2019,3304557,cmba,27
23,3,2019,3304557,cmp,78
23,3,2019,3304557,cvli,7
23,3,2019,3304557,encontro_cadaver,0
23,3,2019,3304557,encontro_ossada,0
23,3,2019,3304557,estelionato,377
23,3,2019,3304557,estupro,9
23,3,2019,3304557,extorsao,18
23,3,2019,3304557,furto_bicicleta,7
23,3,2019,3304557,furto_celular,148
23,3,2019,3304557,furto_coletivo,75
23,3,2019,3304557,furto_transeunte,162
23,3,2019,3304557,furto_veiculos,184
23,3,2019,3304557,hom_culposo,7
23,3,2019,3304557,hom_doloso,7
23,3,2019,3304557,hom_por_interv_policial,8
23,3,2019,3304557,latrocinio,0
23,3,2019,3304557,lesao_corp_culposa,129
23,3,2019,3304557,lesao_corp_dolosa,335
23,3,2019,3304557,lesao_corp_morte,0
23,3,2019,3304557,letalidade_violenta,15
23,3,2019,3304557,pessoas_desaparecidas,30
23,3,2019,3304557,pol_civis_mortos_serv,0
23,3,2019,3304557,pol_militares_mortos_serv,0
23,3,2019,3304557,posse_drogas,10
23,3,2019,3304557,recuperacao_veiculos,99
23,3,2019,3304557,roubo_apos_saque,7
23,3,2019,3304557,roubo_banco,0
23,3,2019,3304557,roubo_bicicleta,0
23,3,2019,3304557,roubo_carga,29
23,3,2019,3304557,roubo_celular,387
23,3,2019,3304557,roubo_comercio,48
23,3,2019,3304557,roubo_conducao_saque,0
23,3,2019,3304557,roubo_cx_eletronico,0
23,3,2019,3304557,roubo_em_coletivo,54
23,3,2019,3304557,roubo_residencia,5
23,3,2019,3304557,roubo_rua,1243
23,3,2019,3304557,roubo_veiculo,323
23,3,2019,3304557,sequestro,0
23,3,2019,3304557,sequestro_relampago,0
23,3,2019,3304557,trafico_drogas,7
23,3,2020,3304557,aaapai,19
23,3,2020,3304557,ameaca,219
23,3,2020,3304557,apf,196
23,3,2020,3304557,apreensao_drogas,20
23,3,2020,3304557,apreensao_drogas_sem_autor,0
23,3,2020,3304557,cmba,3
23,3,2020,3304557,cmp,58
23,3,2020,3304557,cvli,9
23,3,2020,3304557,encontro_cadaver,1
23,3,2020,3304557,encontro_ossada,0
23,3,2020,3304557,estelionato,464
23,3,2020,3304557,estupro,11
23,3,2020,3304557,extorsao,14
23,3,2020,3304557,furto_bicicleta,4
23,3,2020,3304557,furto_celular,76
23,3,2020,3304557,furto_coletivo,39
23,3,2020,3304557,furto_transeunte,86
23,3,2020,3304557,furto_veiculos,113
23,3,2020,3304557,hom_culposo,6
23,3,2020,3304557,hom_doloso,7
23,3,2020,3304557,hom_por_interv_policial,0
23,3,2020,3304557,latrocinio,1
23,3,2020,3304557,lesao_corp_culposa,74
23,3,2020,3304557,lesao_corp_dolosa,170
23,3,2020,3304557,lesao_corp_morte,1
23,3,2020,3304557,letalidade_violenta,9
23,3,2020,3304557,pessoas_desaparecidas,20
23,3,2020,3304557,pol_civis_mortos_serv,0
23,3,2020,3304557,pol_militares_mortos_serv,0
23,3,2020,3304557,posse_drogas,15
23,3,2020,3304557,recuperacao_veiculos,40
23,3,2020,3304557,roubo_apos_saque,4
23,3,2020,3304557,roubo_banco,1
23,3,2020,3304557,roubo_bicicleta,4
23,3,2020,3304557,roubo_carga,27
23,3,2020,3304557,roubo_celular,188
23,3,2020,3304557,roubo_comercio,41
23,3,2020,3304557,roubo_conducao_saque,1
23,3,2020,3304557,roubo_cx_eletronico,1
23,3,2020,3304557,roubo_em_coletivo,39
23,3,2020,3304557,roubo_residencia,4
23,3,2020,3304557,roubo_rua,793
23,3,2020,3304557,roubo_veiculo,247
23,3,2020,3304557,sequestro,0
23,3,2020,3304557,sequestro_relampago,0
23,3,2020,3304557,trafico_drogas,6
23,3,2021,3304557,aaapai,18
23,3,2021,3304557,ameaca,245
23,3,2021,3304557,apf,130
23,3,2021,3304557,apreensao_drogas,21
23,3,2021,3304557,apreensao_drogas_sem_autor,1
23,3,2021,3304557,cmba,6
